name,time,accel_x,accel_y,accel_z,alt,bme280_h,bme280_p,bme280_t,lat,lon,nc05,nc1,nc10,nc25,nc4,ntc,p1,p10,p25,p4,t_offset,typical_part_size
cansat,1622288297165002150,0,-1,9,0,36.65,101520.78,28.06,0,0,9.337798,11.535925,12.114688,12.015105,12.099492,27.6568,1.509046,2.456979,2.032664,2.386259,188,0.690182
cansat,1622288298163473817,0,-1,9,0,37.17,101519.09,28.07,0,0,9.003845,11.120668,11.676597,11.580954,11.661995,27.597624,1.454506,2.364996,1.957584,2.297094,189,0.690182
cansat,1622288299163140275,0,-1,10,0,36.75,101520.89,28.06,0,0,8.77173,10.831098,11.370404,11.277634,11.356235,27.597624,1.416396,2.299619,1.904563,2.233776,190,0.688124
cansat,1622288300166689858,0,0,9,0,36.62,101521.79,28.04,0,0,8.539075,10.540996,11.063751,10.973838,11.050012,27.716154,1.378228,2.234303,1.851541,2.170508,191,0.686742
cansat,1622288301163514493,0,-1,10,0,36.98,101521.88,28.05,0,0,8.436473,10.411264,10.925293,10.836894,10.911778,27.538624,1.361014,2.202753,1.826567,2.140055,192,0.685425
cansat,1622288302163389857,0,0,10,0,37.3,101522.07,28.04,0,0,8.269387,10.202205,10.70378,10.617534,10.690587,27.6568,1.33345,2.154752,1.787855,2.093601,193,0.685425
cansat,1622288303163316106,0,0,10,0,36.79,101522.19,28,0,0,8.179136,10.088612,10.582926,10.497938,10.569921,27.421151,1.318419,2.127798,1.76635,2.067556,194,0.686071
cansat,1622288315162043862,0,0,10,0,37.4,101523.77,28.16,0,0,9.052998,11.154169,11.691514,11.599179,11.677355,27.835399,1.456661,2.336306,1.944152,2.270946,206,0.686256
cansat,1622288316162270320,1,-1,10,0,36.9,101523.75,28.12,0,0,9.067585,11.171092,11.708467,11.616131,11.694304,28.197504,1.458785,2.338463,1.946353,2.27311,207,0.687292
cansat,1622288317162379018,0,-1,10,0,36.68,101524.57,28.1,0,0,9.158737,11.283314,11.826031,11.732777,11.811728,28.197504,1.473434,2.361856,1.965852,2.295855,208,0.690538
cansat,1622288318162022246,0,-1,10,0,36.78,101523.29,28.08,0,0,9.226254,11.366588,11.913379,11.819426,11.898969,28.258504,1.484316,2.37941,1.980427,2.312911,209,0.690169
cansat,1622288319162343548,0,0,10,0,37.98,101521.16,28.12,0,0,9.317337,11.47845,12.03036,11.935528,12.015816,28.258504,1.498894,2.402364,1.999668,2.335248,210,0.687593
cansat,1622288320162132975,1,0,10,0,38.24,101520.17,28.17,0,0,9.383136,11.559453,12.115216,12.019723,12.10057,28.319691,1.509467,2.419242,2.013738,2.351657,211,0.688815
